 x     f(x)
==== =======
0.02  1.0000
0.08  1.0953
0.34  1.4789
0.45  1.6515
0.58  1.8474
0.70  1.9642
0.82  2.0925
1.07  2.0864
1.38  1.6978
1.68  1.1256
1.80  0.8946
1.93  0.7072
2.23  0.5426
2.50  0.7396
2.71  1.0428
2.86  1.2799
3.14  1.6624
3.40  1.8177
3.62  1.7875
3.88  1.6336
4.21  1.4453
4.45  1.3483
4.53  1.3380
4.71  1.3333
5.03  1.3089
5.18  1.2579
5.31  1.1916
5.43  1.1165
5.54  1.0414
5.80  0.8835
6.03  0.8490
6.16  0.8983
6.32  1.0416
6.45  1.2037
6.75  1.6859
6.95  1.9622
7.11  2.0929
7.25  2.1259
7.51  1.9403
7.73  1.5788
8.02  1.0083
8.16  0.7795
8.38  0.5662
8.61  0.5793
8.75  0.6747
============
